,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
1186,2013,Confirmed,Saleh Ayyad Hafyana,,Libya,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Fassato News Agency,Photographer,"Culture,Politics",Internet,Libya,Tripoli,,,Tripoli,,Local,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,,"November 18, 2013","Hafyana, a photographer for the independent Fassato NewsAgency, was hit byshrapnel when members of a militia opened fire on a crowd of protesters inTripoli, according to Fassato. Thedemonstrators were protesting against the presence of militias in the capital,according to news reports."
1187,2005,Confirmed,Saleh Ibrahim,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/saleh_ibrahim_iraq_2005.jpg,,Journalist,,Crossfire,Killed,Staff,Associated Press Television News,Camera Operator,War,Television,Iraq,Mosul,,,Mosul,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"April 23, 2005","Ibrahim was killed by gunfire near the city’s al-Yarmouk Circle, the scene of an earlier explosion that he and his brother-in-law, AP photographer Mohamed Ibrahim, had gone to cover, according to The Associated Press."
1188,2014,Confirmed,Salem Khalil,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Orient News,Broadcast Reporter,"Human Rights,Politics,War","Television,Internet",Syria,"Sheikh Miskeen, Daraa province",,,"Sheikh Miskeen, Daraa province","Sheikh Miskeen, Daraa province",Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"December 8, 2014","Khalil, a cameraman for the Syrian opposition TV station Orient News, was killed with two other crew members when their car was hit by a missile as they were headed to cover the aftermath of clashes in Sheikh Miskeen village in the Daraa Province of Syria on December 8, 2014, the station and other news outlets reported."
1189,2007,Confirmed,Salih Saif Aldin,,,,,Male,,,Journalist,,Murder,Killed,Staff,The Washington Post,Print Reporter,"Politics,War",Print,Iraq,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 14, 2007","Saif Aldin, 32, was killed at close range by a single gunshot to the head while photographing fire-damaged houses on a street in Baghdad’s southern neighborhood of Al-Saydiya, the Post reported. Saif Aldin was on assignment interviewing residents about sectarian violence raging between Shiite militias and Sunni insurgents in the neighborhood, long a center of violence, the newspaper said. The Post reported that a man used Saif Aldin’s cell phone to inform an employee at the paper that the journalist was killed."
1190,1992,Confirmed,Salko Hondo,,Bosnia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Oslobodjenje,Photographer,War,Print,Bosnia,Sarajevo,,,Sarajevo,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"July 1, 1992","Hondo, a photographer for the Sarajevo daily Oslobodjenje, was killed by a grenade or mortar that fell on the Sarajevo open market. According to the paper, he was working at the time."
1191,2017,Confirmed,Salvador Adame Pardo,,Mexico,,,Male,,,Journalist,Killed,Murder,Killed,Staff,6TV,"Broadcast Reporter,Publisher/Owner","Corruption,Politics",Television,Mexico,Nueva Italia,,Michoacán,Nueva Italia,,Local,"Criminal Group,Government Officials",Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"May 18-June 14, 2017","Gunmen abducted Salvador Adame Pardo, director of the television station 6TV, on May 18, 2017, from the central Mexican town of Nueva Italia in Michoacán state, according to media reports. On June 26, 2017, state authorities told Mexican media that they had found the burned remains of Adame on June 14, 2017, in the town of Gabriel Zamora."
1192,2001,Confirmed,Salvador Medina Velázquez,,Paraguay,,,Male,,,Journalist,,Murder,Killed,Staff,FM Ñemity,Producer,"Corruption,Crime",Radio,Paraguay,Capiibary,,,Capiibary,,Local,Criminal Group,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"January 5, 2001","Medina, 27, president of the board of community radio station FM Ñemity in the town of Capiibary in the San Pedro Department,about 250 km (150 miles) from Asunción, was ambushed and shot by anunidentified gunman."
1193,1999,Confirmed,Sam Nimfa-Jan,,Nigeria,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Details,Print Reporter,Human Rights,Print,Nigeria,Kafanchan,,,Kafanchan,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"May 27, 1999","Nimfa-Jan, a journalist with the magazine Details, based in Jos, Plateau State, was killed in Kafanchan, Kaduna State, during ethnic clashes. He was on assignment covering riots between the Hausa Fulani and Zangon-Kataf groups that broke out over the installation of a new emir (traditional local leader) in the Jema’a area. Nigerian journalists, quoting local residents, said that Nimfa-Jan’s corpse was found with arrows protruding from its back. Suspicions were apparently high that Hausas had killed him."
1194,2005,Confirmed,Saman Abdullah Izzedine,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/saman_abdullah_izzedine_iraq_2005.jpg,,Journalist,,Murder,Killed,Staff,Kirkuk TV,Broadcast Reporter,War,Television,Iraq,Kirkuk,,,Kirkuk,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"April 15, 2005","Unidentified assailants gunned down Izzedine, a news anchor for the Patriotic Union of Kurdistan-backed Kirkuk TV as he was driving on the main highway from Kirkuk to Baghdad. Kurdish journalists in Kirkuk said that Izzedine’s car was fired on by a group of armed men driving in a black Nissan. After Izzedine was shot, his attackers threw his body onto the road and left the scene, the journalists reported."
1195,2014,Confirmed,Sameh al-Aryan,,Israel and the Occupied Palestinian Territory,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/sameh.facebook.jpg,Facebook,Journalist,,Crossfire,Killed,Staff,Al-Aqsa TV,"Camera Operator,Photographer","Human Rights,Politics,War",Television,Israel and the Occupied Palestinian Territory,"Shijaiyah, Gaza",,,"Shijaiyah, Gaza",,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"July 30, 2014","Palestinian journalist al-Aryan was killed in an Israeli bombardment on a market in the Shijaiyah neighborhood of Gaza, according to his employer and news reports. At least 16 other people were killed and 160 wounded in the strike, according to news reports."
1196,2016,Confirmed,Samer Mohammed Aboud,,Syria,,,Male,,,Journalist,,Murder,Killed,Staff,"Free Deir al-Zour Radio, Development Interaction Network","Broadcast Reporter,Internet Reporter",War,"Radio,Internet",Syria,Deir al-Zour,,,Deir al-Zour,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,October 2015 - June 2016,"Militants from the Islamic State group murdered Samer Mohammed Aboud, a radio journalist and writer in Deir al-Zour, Syria, his colleague confirmed to the Committee to Protect Journalists following the release of a graphic video showing his murder. The video also shows the killing of four other Syrian journalists and media workers."
1197,2012,Confirmed,Sami Abu Amin,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Ikhbariya,Broadcast Reporter,Politics,Television,Syria,Doursha,,,Doursha,,Local,,Confirmed,,,,,,,,,,,,,,,,"June 27, 2012","Abu Amin, 30, a reporter for the private pro-governmentSyrian television station Al-Ikhbariya, was killedwith his colleague, Mohammad Shamma, when armed men attacked the station’soffices in the town of Doursha, in southern Damascus, in the early hours of themorning, according to news reports."
1198,2016,Confirmed,Sami Jawdat Rabah,,Syria,,,Male,,,Journalist,,Murder,Killed,Staff,Syrian Observatory for Human Rights,"Photographer,Internet Reporter",War,Internet,Syria,Deir al-Zour,,,Deir al-Zour,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,October 2015 - June 2016,"Militants from the Islamic State group murdered Sami Jawdat Rabah, an online reporter the Syrian Observatory for Human Rights, his employer and a relative told the Committee to Protect Journalists following the release of a video showing his murder. The video also shows the killing of four other Syrian journalists and media workers."
1199,2018,Confirmed,Samim Faramarz,,Afghanistan,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/SamimCap.jpg_ac00c264-82c7-449a-a457-524d3c9460a5.jpeg,TOLO News,Journalist,Killed,Dangerous Assignment,Killed,Staff,TOLO News,Broadcast Reporter,"Corruption,Politics,War",Television,Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"September 5, 2018","Samim Faramarz, a TV reporter for TOLO News, was killed in a double bombing attack on September 5, 2018, in Kabul, Afghanistan, that also killed TOLO News cameraman Ramiz Ahmadi, TOLO News reported. Faramarz was reporting live at the scene of the first bombing, a suicide attack against a wrestling gym. He died after a car bomb was detonated at the scene. At least 20 people were killed in the attacks, which wounded over 70, according to news reports."
1200,2005,Confirmed,Samir Qassir,,Lebanon,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Qassir.Lebanon.jpg,AP,Journalist,,Murder,Killed,Staff,Al-Nahar,Columnist/Commentator,Politics,Print,Lebanon,Beirut,,,Beirut,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"June 2, 2005","Columnist Samir Qassir was killed in a car bombing outside his home inBeirut’s Ashrafiyeh neighborhood. Qassir, well-known throughout theregion for supporting democratic reform, died when a bomb explodedunder the driver’s seat of his Alfa Romeo. Qassir’s murder promptedmass demonstrations in Beirut."
1201,1999,Confirmed,Samson Boyi,,Nigeria,,,Male,,,Journalist,,Crossfire,Killed,Staff,The Scope,Photographer,Politics,Print,Nigeria,Adamawa State,,Adamawa State,Adamawa State,,Local,,Confirmed,,,,,,,,,,,,,,,,"November 5, 1999","Boyi, a photojournalist with the Adamawa State­owned newspaper The Scope, was killed when about 30 armed men attacked the convoy of the state governor, Haruna Bonnie, who was traveling from the state capital, Yola, to the town of Bauchi. Boyi was one of several journalists assigned to cover the trip."
1202,2004,Confirmed,Samuel Romã,,Brazil,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Conquista FM,"Columnist/Commentator,Publisher/Owner","Corruption,Crime,Politics",Radio,Brazil,Coronel Sapucaia,,,Coronel Sapucaia,,Local,Government Officials,Confirmed,,,Full Justice,No,No,No,,,,,,,,,,"April 20, 2004","At around 6 p.m., four gunmen on two motorcycles shot radio hostRomã outside his home in Coronel Sapucaia, in the southwestern state ofMato Grosso do Sul. Police took the journalist to the municipalhospital, where he was pronounced dead on arrival."
1203,2019,Confirmed,Samuel Wazizi,,Cameroon,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/wazizi-killed-cap.jpg_e870774b-c3be-4f0e-b3f5-e2814e630569.jpeg,Tah Mai Jarvis,Journalist,Killed,Unknown,Killed,Staff,Chillen Muzik TV,"Broadcast Reporter,Camera Operator,Photographer","Human Rights,Politics","Internet,Television",Cameroon,,,,,,Local,Military Officials,Confirmed,,No,,,,,,,,,,,,,,"August 17, 2019","News anchor and camera operator Samuel Wazizi, whose legal name was Samuel Ajiekha Abuwe, died in government custody in Cameroon’s capital, Yaoundé, on August 17, 2019, according to a statement released on June 5, 2020, by the Cameroonian military, which CPJ reviewed. He had been arrested two weeks earlier in relation to his reporting. The precise circumstances and location of his death, which was not announced until 10 months later, are unknown."
1204,2018,Confirmed,Sandeep Sharma,,India,,,Male,,,Journalist,Killed,Murder,Killed,Staff,News World,Broadcast Reporter,Corruption,Television,India,Ghazipur district,,Ghazipur district,,Uttar Pradesh,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"March 26, 2018","Sandeep Sharma, a reporter for the local News World television channel in Madhya Pradesh state’s Bhind district, was killed on March 26, 2018. He was driving on his motorbike to a government event when a truck veered into him and ran him over, according to the channel’s bureau chief, Vikas Purohit, who witnessed the collision, and a report by NDTV. Purohit told CPJ that he took Sharma to the local hospital where the journalist was declared dead from injuries sustained in the crash."
1205,1999,Confirmed,Sander Thoenes,,Netherlands,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/sander_thoenes_east-timor_1999.jpg,,Journalist,,Murder,Killed,Freelance,Freelancer,Print Reporter,War,Print,East Timor,Dili,,,Dili,,Foreign,Military Officials,Confirmed,,,Complete Impunity,Yes,No,No,,,,,,,,,,"September 21, 1999","The body of Thoenes, 30, a Dutch freelance reporter on assignment for The Financial Times, The Christian Science Monitor, and the Dutch newspaper Vrij Nederland, was found on the morning of September 22 by United Nations forces in the Dili suburb of Becora, where Indonesian military and anti-independence militia forces had been active."
1206,2014,Confirmed,Santiago Ilídio Andrade,,Brazil,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Bandeirantes,Camera Operator,Politics,Television,Brazil,Rio de Janeiro,,,Rio de Janeiro,,Local,Local Residents,Confirmed,,,,,,,,,,,,,,,,"February 10, 2014","Andrade, cameraman for the television networkBandeirantes, was filming a confrontation in Rio de Janeiro between police officers anddemonstrators protesting a public transportation fare hike when a flare hit himin the head, according to news reports. He underwent surgery at a local hospital and was in a coma forfour days before being declared brain dead."
1207,2009,Confirmed,Santos Gatchalian,,Philippines,,,Male,,,Journalist,,Murder,Killed,Staff,DXGO,Broadcast Reporter,Politics,Radio,Philippines,Ampatuan,,,Ampatuan,,Local,Government Officials,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"November 23, 2009","In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan."
1208,2000,Confirmed,Saoman Conteh,,Sierra Leone,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,New Tablet,Print Reporter,Human Rights,Print,Sierra Leone,Freetown,,,Freetown,,Local,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,,"May 8, 2000","Conteh, a journalist with the independent weekly New Tablet, was shot dead while covering a spontaneous demonstration outside the Freetown residence of Revolutionary United Front (RUF) rebel leader Foday Sankoh."
1209,2012,Confirmed,Saqib Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Ummat,Photographer,"Business,Corruption","Print,Internet",Pakistan,Karachi,,,Karachi,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"November 22, 2012","Khan, a photographer for the Urdu-language paper Ummat, diedfrom injuries he sustained in a bomb explosion that occurred 30 minutes afteranother blast outside a Shia site in Karachi, according to the InternationalFederation of Journalists and the Pakistan Federal Union of Journalists. Khanwas killed while covering the first explosion, the same sources said."
1210,2010,Confirmed,Sardasht Osman,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Osman.Iraq1.jpg,AFP,Journalist,,Murder,Killed,Freelance,freelance,"Internet Reporter,Print Reporter",Corruption,"Print,Internet",Iraq,Mosul,,,Mosul,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"May 5, 2010","Osman, 23, a contributor to the independent newspaper Ashtiname and news websites Sbei, Awene, Hawlati, and Lvinpress, was found shot to death in the northern city of Mosul, according to news reports."
1211,2007,Confirmed,Sarmad Hamdi Shaker,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Baghdad TV,Broadcast Reporter,War,Television,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"June 27, 2007","Shaker, 43, a correspondent for the satellite channel Baghdad TV, left his home in Baghdad’s Al-Jamia neighborhood for work on the morning of June 27. He was waiting on the street for a friend to pick him up, a source at the station told CPJ, when a car carrying several gunmen came alongside and two armed occupants asked him to get in for questioning, the source said. His body was found on the street in the same neighborhood that afternoon, according to the source."
1212,2008,Confirmed,Sarwa Abdul-Wahab,,Iraq,,,Female,,,Journalist,,Murder,Killed,Freelance,freelance,Internet Reporter,"Politics,War",Internet,Iraq,Mosul,,,Mosul,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"May 4, 2008","Abdul-Wahab, 36, a freelance journalist and contributor tothe Muraslon news site, was shotand killed while resisting abduction in the Al-Bakr area of Mosul."
1213,2003,Confirmed,Satoru Someya,,Japan,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,Print Reporter,Crime,Print,Japan,Tokyo,,,Tokyo,,Local,Local Residents,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,,"September 6, 2003","Locksmith Keizo Sakurai and two accomplices kidnapped and then murderedfreelance journalist Someya. On September 12, police found Someya’sbody near a pier in Tokyo Bay. On April 27, 2004, Sakurai pleadedguilty in the Tokyo District Court to murdering Someya in retributionfor Someya’s reporting about Sakurai’s alleged criminal activities,according to Japanese press reports."
1214,2012,Confirmed,Sattar Beheshti,,Iran,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/sattar.killed.jpg,ICHR,Journalist,,Dangerous Assignment,Killed,Freelance,Freelance,Internet Reporter,"Corruption,Human Rights,Politics",Internet,Iran,Tehran,,,Tehran,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"November 3, 2012","Beheshti, 35, a critical blogger, died under suspicious and unclear circumstances while in government custody, according to news reports."
1215,2017,Confirmed,Sayed Mehdi Husaini,,Afghanistan,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Jomhor News Agency,Internet Reporter,Culture,Internet,Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"December 28, 2017","Sayed Mehdi Husaini, a culture reporter with Jomhor News Agency, was among at least 41 people killed in a militant attack in Kabul, Afghanistan on December 28, 2017, according to TOLO News and UNESCO. Suicide bombers attacked the compound that was home to a Shiite cultural center and the Afghan Voice Agency (AVA), an independent media organization. The attack targeted a panel discussion at the Tebyan Social and Cultural Centre on the anniversary of the Soviet invasion of Afghanistan in 1979, according to news reports. Husaini was covering the event for Jomhor, Sayed Masood Hashimi, the news agency’s chief editor, told CPJ. The militant group Islamic State claimed responsibility for the attack, according to news reports."
1216,2017,Confirmed,Sayeed Khuda Dad Ahamdi,,Afghanistan,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Afghan Voice Agency,"Print Reporter,Internet Reporter",Culture,"Internet,Television",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"December 28, 2017","Sayeed Khuda Dad Ahamdi, a reporter for Afghan Voice Agency’s social and cultural programs, was among at least 41 people killed in a militant attack in Kabul, Afghanistan, on December 28, 2017, according to Ilias Alami, operations manager at the Afghan Journalists Safety Committee and Sayed Hamza Hussaini, a reporter at Afghan Voice Agency (AVA). Suicide bombers attacked the compound that was home to a Shiite cultural center and the AVA, an independent media organization. The attack targeted a panel discussion at the Tebyan Social and Cultural Centre on the anniversary of the Soviet invasion of Afghanistan in 1979, according to news reports. Ahamdi was covering the event for AVA, Hussaini said."
1217,1995,Confirmed,Sayfettin Tepe,,Turkey,,,Male,,,Journalist,,Murder,Killed,Staff,Yeni Politika,Print Reporter,"Culture,Politics",Print,Turkey,Batman,,,Batman,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"August 29, 1995","Tepe, a correspondent for the banned Yeni Politika newspaper in the southeastern city of Batman, was taken into custody on August 22. Four days later he was moved to the Bitlis Security Directorate. He died in custody on August 29. His family was told that he committed suicide but rejects that official explanation."
1218,1998,Confirmed,Sayomchai Vijitwittayapong,,Thailand,,,Male,,,Journalist,,Murder,Killed,Staff,Matichon,Print Reporter,Corruption,Print,Thailand,Phichit,,,Phichit,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"January 10, 1998","Sayomchai, an investigative reporter for Bangkok’s third-largest daily newspaper, Matichon, was found dead of a gunshot wound in his car in the city of Phichit in central Thailand. He was last seen leaving his Bangkok home on January 9 with a tape recorder and camera on his way to meet a village headman. Colleagues believe he was killed because of his reporting on corruption in the construction industry. He had received death threats and had reportedly refused a bribe to drop his investigation."
1219,2007,Confirmed,Selvarajah Rajeewarnam,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,Uthayan,Print Reporter,"Politics,War",Print,Sri Lanka,Jaffna,,,Jaffna,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"April 29, 2007","Rajeewarnam, a reporter for the Tamil-language daily Uthayan, was aboard a bicycle on assignment in Jaffna when he was shot by unidentified motorcycle-riding gunmen about 600 feet (180 meters) from a military checkpoint, according to Uthayan staffers."
1220,2004,Confirmed,Semko Karim Mohyideen,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance,Camera Operator,Culture,Television,Iraq,Arbil,,,Arbil,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"February 1, 2004",Mohyideen was among six journalists killed when the offices of the Patriotic Union of Kurdistan (PUK) and the Kurdistan Democratic Party (KDP) were attacked in twin suicide bombings as the two Kurdish groups hosted guests to commemorate the first day of the Muslim holiday Eid.
1221,2007,Confirmed,Serge Maheshe,,Democratic Republic of the Congo,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Maheshe.2007.DRC1.jpg,,Journalist,,Murder,Killed,Staff,Radio Okapi,"Broadcast Reporter,Editor",War,Radio,Democratic Republic of the Congo,Bukavu,,,Bukavu,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"June 13, 2007","Maheshe, an editor and reporter for U.N.-sponsored Radio Okapi in theeastern border town of Bukavu,was gunned down as he was preparing to board a U.N vehicle with two friends,according to news reports and CPJ interviews. The gunmen ordered the men to siton the ground and then shot the journalist several times in the chest and legs."
1222,1993,Confirmed,Sergei Krasilnikov,,Russia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Ostankino Television Company,Technician,Politics,Television,Russia,Moscow,,,Moscow,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"October 3, 1993","Six journalists were killed in Moscow during an October 1993 Communisthardliner uprising against Russian President Boris Yeltsin, which left scoresof people dead and wounded. One journalist died of a heart attack during thesiege of the OstankinoTelevision Center."
1223,2015,Confirmed,Serhiy Nikolayev,,Ukraine,,,Male,,,Journalist,,Crossfire,Killed,Staff,Segodnya,Photographer,"Human Rights,War",Print,Ukraine,Peski,,,Peski,,Local,,Confirmed,,,,,,,,,,,,,,,,"February 28, 2015","Ukrainian photographer Serhiy Nikolayev, who worked for the Kiev-based daily Segodnya, was killed in crossfire while covering fighting between Ukrainian troops and pro-Russian separatists in the village of Peski, northeast of the major rebel-controlled city of Donetsk, the news agency Reuters reported. Both sides blamed the other for the death, according to news reports."
1224,2020,Confirmed,Shafiq Amiri,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Khurshid TV,Technician,"Business,Politics,War",Television,Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 30, 2020","Shafiq Amiri, a technician at the privately-owned broadcaster Khurshid TV, was killed when a bomb targeted a Khurshid TV van, according to news reports. Mir Wahed Shah, an economics reporter, was also killed in the blast and six employees were injured, TOLO News reported."
1225,2011,Confirmed,Shafiullah Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,The News,Print Reporter,"Crime,Politics",Print,Pakistan,Wah Cantonment,,,Wah Cantonment,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 17, 2011","Asfandyar Khan, a reporter for the newspaperAkhbar-e-Khyber, died in a double bombing that took the lives of more thanthree dozen people. Shafiullah Khan, a trainee reporter at the daily The News,died six days later from extensive burns and shrapnel wounds suffered in theattack. Seven other journalists were injured."
1226,2018,Confirmed,Shah Marai,,Afghanistan,,,Male,https://cpj-photos.s3.amazonaws.com/Marai-KilledCap-2018-05-02-1525271756917.jpg,AFP,Journalist,Killed,Murder,Killed,Staff,Agence France-Presse,Photographer,War,"Print,Internet",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"April 30, 2018","Shah Marai, the chief photographer for Agence France-Presse in Kabul, was killed in a double suicide bomb attack on April 30, 2018, in Afghanistan’s capital, that left over 25 dead, among them at least nine journalists including Marai, AFP reported. “No worry man, I am here,” was one of the last messages Shah Marai sent from the scene of the first suicide blast, reassuring a colleague who was running late that he was shooting video as well as taking photos, according to AFP.  Minutes later, Marai was killed in the second blast, in which the attacker disguised himself as a media worker and detonated his explosives in a scrum of reporters, according to media reports. Kabul police said the bomber deliberately targeted the press. The extremist group Islamic State issued an online statement the same day that claimed responsibility for the attacks, which also injured at least 45 people, according to The Associated Press."
1227,2002,Confirmed,Shahid Soomro,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Kawish,Print Reporter,Human Rights,Print,Pakistan,Kandhkot,,,Kandhkot,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 20, 2002","Soomro, a correspondent for the Sindhi-language newspaper Kawish, was assassinated in the town of Kandhkot, Sindh Province, apparently in reprisal for his reporting on abuses committed during general elections held on October 10."
1228,2021,Confirmed,Shahid Zehri,,Pakistan,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/shahid-zehri.PNG_f656e15f-1e17-426a-9135-9ca5dc394e38.png,YouTube/Metro 1 News,Journalist,Killed,Murder,Killed,Staff,Metro 1 News,Broadcast Reporter,Politics,Television,Pakistan,Hub,,,Hub,Baluchistan,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 10, 2021","On October 10, 2021, Shahid Zehri, a reporter for the privately owned news channel Metro 1 News, was killed in an explosion while driving his car in the southern Pakistan city of Hub, in the Lasbela district of Baluchistan province, according to multiple news reports citing local police officials, and a report by his employer. The Baloch Liberation Army, an ethnic separatist group, took responsibility for the attack in a press release posted to social media, accusing Zehri of working with the intelligence branch of Pakistan’s military and “committing various crimes using the noble profession of journalism” with the support of the Frontier Corps, a government paramilitary force that operates in Baluchistan province."
1229,2013,Confirmed,Shahir al-Muaddamani,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Local Council of Deraya City Media Office,"Photographer,Internet Reporter",War,Internet,Syria,Daraya,,,Daraya,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"August 16, 2013","Al-Muaddamani was killed by a shell while on his way to cover clashes in Daraya, a suburb of Damascus, according to news reports and Mohanad Abu al-Zein, the current director of the media office of the Local Council of Daraya City."
1230,1999,Confirmed,Shamil Gigayev,,Russia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Nokh Cho TV,Camera Operator,War,Television,Russia,Shaami Yurt,,,Shaami Yurt,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"October 29, 1999","Gigayev, a cameraman for independent Nokh Cho Television in Grozny, and Ramzan Mezhidov, a freelance cameraman working for the Moscow-based TVTsentr, were killed during a Russian air attack on refugees fleeingChechnya."
1231,1995,Confirmed,Shamkhan Kagirov,,Russia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Rossiskaya Gazeta and Vozrozheniye,Print Reporter,War,Print,Russia,near Grozny,,,near Grozny,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"December 13, 1995","Kagirov, a reporter for the Moscow daily newspaper Rossiyskaya Gazeta and the local paper Vozrozheniye, was shot and killed in an ambush in Chechnya. Kagirov and three local police officers were traveling in a car near Grozny when they were attacked. The three officers were also killed."
